bioscreen_well	replicate	sp_hist	strep_conc	auc	max_od	min_od
130	5	ANC_1287	128	21.702044444444446	0.6012	0.083
136	1	ANC_1977	128	4.11965	0.087	0.08233333333333334
137	2	ANC_1977	128	4.110361111111111	0.0866	0.08233333333333334
138	3	ANC_1977	128	4.148688888888889	0.0872	0.08333333333333334
139	4	ANC_1977	128	4.368505555555555	0.096	0.088
140	5	ANC_1977	128	4.191838888888888	0.0886	0.085
146	1	ANC_1287	256	17.11948888888889	0.5346000000000001	0.08133333333333334
147	2	ANC_1287	256	16.811505555555556	0.5244	0.08133333333333334
148	3	ANC_1287	256	16.661844444444444	0.5338	0.08133333333333334
149	4	ANC_1287	256	17.401983333333334	0.563	0.08166666666666667
150	5	ANC_1287	256	17.549883333333334	0.5638	0.083
156	1	ANC_1977	256	4.188144444444444	0.088	0.08366666666666667
157	2	ANC_1977	256	4.0926833333333335	0.086	0.082
158	3	ANC_1977	256	4.117461111111111	0.087	0.083
159	4	ANC_1977	256	4.154355555555555	0.0872	0.08333333333333334
160	5	ANC_1977	256	4.172683333333333	0.088	0.084
166	1	ANC_1287	512	10.670055555555557	0.519	0.08233333333333334
167	2	ANC_1287	512	12.535927777777776	0.4962	0.08266666666666667
168	3	ANC_1287	512	11.950011111111111	0.5526000000000001	0.08233333333333334
169	4	ANC_1287	512	10.369983333333334	0.553	0.083
170	5	ANC_1287	512	9.047027777777778	0.5163333333333333	0.08333333333333334
176	1	ANC_1977	512	4.1611111111111105	0.08766666666666666	0.084
177	2	ANC_1977	512	4.152355555555555	0.087	0.08333333333333334
178	3	ANC_1977	512	4.1555	0.08733333333333333	0.08366666666666667
179	4	ANC_1977	512	4.188955555555555	0.08833333333333333	0.084
180	5	ANC_1977	512	4.206666666666666	0.089	0.085
186	1	ANC_1287	1024	4.1146666666666665	0.086	0.084
187	2	ANC_1287	1024	4.2455	0.12266666666666666	0.08333333333333334
188	3	ANC_1287	1024	4.119466666666667	0.08633333333333333	0.08366666666666667
189	4	ANC_1287	1024	4.118855555555555	0.0862	0.08333333333333334
190	5	ANC_1287	1024	4.13	0.087	0.083
196	1	ANC_1977	1024	4.459461111111111	0.09733333333333334	0.08433333333333334
197	2	ANC_1977	1024	4.480188888888889	0.0964	0.085
198	3	ANC_1977	1024	4.44165	0.09633333333333334	0.08466666666666667
199	4	ANC_1977	1024	4.459194444444444	0.0974	0.08433333333333334
200	5	ANC_1977	1024	4.357272222222222	0.0964	0.084
6	1	ANC_1287	2048	4.022444444444445	0.085	0.08
7	2	ANC_1287	2048	4.013288888888889	0.08466666666666667	0.07966666666666666
8	3	ANC_1287	2048	4.033633333333333	0.085	0.08
9	4	ANC_1287	2048	4.059961111111111	0.08566666666666667	0.081
10	5	ANC_1287	2048	4.067355555555555	0.0856	0.08133333333333334
16	1	ANC_1977	2048	3.977627777777778	0.0838	0.07933333333333334
17	2	ANC_1977	2048	3.983916666666667	0.084	0.07966666666666666
18	3	ANC_1977	2048	4.0143555555555555	0.084	0.08033333333333334
19	4	ANC_1977	2048	4.028855555555556	0.08460000000000001	0.08133333333333334
20	5	ANC_1977	2048	4.066122222222223	0.08533333333333333	0.082
26	1	ANC_1287	4096	3.950016666666667	0.083	0.07933333333333334
27	2	ANC_1287	4096	3.9463444444444447	0.083	0.079
28	3	ANC_1287	4096	3.962022222222222	0.083	0.07933333333333334
29	4	ANC_1287	4096	3.968961111111111	0.08320000000000001	0.07966666666666666
30	5	ANC_1287	4096	4.036127777777778	0.085	0.08166666666666667
36	1	ANC_1977	4096	3.9476833333333334	0.083	0.079
37	2	ANC_1977	4096	3.961016666666666	0.08320000000000001	0.079
38	3	ANC_1977	4096	3.942705555555556	0.083	0.07933333333333334
39	4	ANC_1977	4096	4.009966666666667	0.084	0.081
40	5	ANC_1977	4096	4.002522222222223	0.084	0.08133333333333334
46	1	EVO_1287	0	16.63953888888889	0.479	0.08133333333333334
47	2	EVO_1287	0	16.562827777777777	0.474	0.08066666666666666
48	3	EVO_1287	0	16.72182777777778	0.475	0.08166666666666667
49	4	EVO_1287	0	16.376994444444446	0.4633333333333334	0.08233333333333334
50	5	EVO_1287	0	16.96535	0.5066666666666667	0.08233333333333334
56	1	EVO_1977	0	23.99166111111111	0.7814	0.08133333333333334
57	2	EVO_1977	0	23.987683333333333	0.7832	0.08133333333333334
58	3	EVO_1977	0	23.950205555555556	0.7818	0.08233333333333334
59	4	EVO_1977	0	23.89961111111111	0.7798	0.08266666666666667
60	5	EVO_1977	0	23.807244444444443	0.7676000000000001	0.084
66	1	EVO_1287	4	15.931811111111111	0.4304	0.08033333333333334
67	2	EVO_1287	4	15.975144444444444	0.4318	0.08033333333333334
68	3	EVO_1287	4	15.872144444444444	0.4266	0.08066666666666666
69	4	EVO_1287	4	15.835744444444444	0.4258	0.08133333333333334
70	5	EVO_1287	4	16.20568888888889	0.438	0.08233333333333334
76	1	EVO_1977	4	23.7982	0.7724	0.08133333333333334
77	2	EVO_1977	4	23.690372222222223	0.7686000000000001	0.08133333333333334
78	3	EVO_1977	4	23.6722	0.775	0.082
79	4	EVO_1977	4	23.752855555555556	0.7788	0.083
80	5	EVO_1977	4	23.618927777777778	0.764	0.084
86	1	EVO_1287	8	15.192222222222222	0.403	0.08033333333333334
87	2	EVO_1287	8	15.026872222222222	0.399	0.08033333333333334
88	3	EVO_1287	8	15.08403888888889	0.402	0.08033333333333334
89	4	EVO_1287	8	15.751538888888888	0.4244	0.08133333333333334
90	5	EVO_1287	8	15.720855555555556	0.4224	0.08233333333333334
96	1	EVO_1977	8	23.454455555555555	0.766	0.08266666666666667
97	2	EVO_1977	8	23.70203888888889	0.768	0.08133333333333334
98	3	EVO_1977	8	23.533772222222225	0.7702	0.08166666666666667
99	4	EVO_1977	8	23.71875	0.7718	0.083
100	5	EVO_1977	8	23.657916666666665	0.7608	0.08333333333333334
106	1	EVO_1287	16	15.54935	0.4202	0.082
107	2	EVO_1287	16	15.450038888888889	0.4156	0.08133333333333334
108	3	EVO_1287	16	15.488711111111112	0.4172	0.08133333333333334
109	4	EVO_1287	16	15.827538888888888	0.4302	0.08133333333333334
110	5	EVO_1287	16	15.560688888888889	0.4224	0.08233333333333334
116	1	EVO_1977	16	23.773266666666668	0.7652	0.083
117	2	EVO_1977	16	23.692083333333333	0.7702	0.08266666666666667
118	3	EVO_1977	16	23.46545	0.7674	0.083
119	4	EVO_1977	16	23.65447222222222	0.772	0.084
120	5	EVO_1977	16	23.54785	0.7588	0.084
126	1	EVO_1287	32	16.194516666666665	0.4504	0.08333333333333334
127	2	EVO_1287	32	15.744622222222224	0.435	0.08266666666666667
128	3	EVO_1287	32	15.350188888888889	0.422	0.08333333333333334
129	4	EVO_1287	32	15.753022222222222	0.4328	0.08333333333333334
130	5	EVO_1287	32	15.452	0.44333333333333336	0.08266666666666667
136	1	EVO_1977	32	23.704438888888888	0.769	0.08366666666666667
137	2	EVO_1977	32	23.560944444444445	0.769	0.08433333333333334
138	3	EVO_1977	32	23.507016666666665	0.7648	0.084
139	4	EVO_1977	32	23.525477777777777	0.7718	0.08433333333333334
140	5	EVO_1977	32	24.323716666666662	0.7472	0.084
6	1	EVO_1287	64	16.663338888888887	0.487	0.08
7	2	EVO_1287	64	16.636155555555554	0.4838	0.08
8	3	EVO_1287	64	16.853283333333334	0.4878	0.08
9	4	EVO_1287	64	16.63945	0.4782	0.08066666666666666
10	5	EVO_1287	64	17.456283333333335	0.52875	0.08066666666666666
16	1	EVO_1977	64	24.402911111111113	0.7742	0.07966666666666666
17	2	EVO_1977	64	24.554366666666667	0.7792	0.08
18	3	EVO_1977	64	24.39985	0.782	0.08033333333333334
19	4	EVO_1977	64	24.48097222222222	0.781	0.08066666666666666
20	5	EVO_1977	64	24.755233333333333	0.773	0.08233333333333334
26	1	EVO_1287	128	16.218916666666665	0.4452	0.08033333333333334
27	2	EVO_1287	128	16.12563888888889	0.442	0.08
28	3	EVO_1287	128	15.917344444444444	0.4362	0.08
29	4	EVO_1287	128	15.985294444444444	0.4424	0.08033333333333334
30	5	EVO_1287	128	16.197622222222222	0.4478	0.08133333333333334
36	1	EVO_1977	128	24.022516666666668	0.7636000000000001	0.07933333333333334
37	2	EVO_1977	128	24.070644444444444	0.769	0.08
38	3	EVO_1977	128	23.974816666666666	0.7682	0.08033333333333334
39	4	EVO_1977	128	23.94087222222222	0.772	0.08133333333333334
40	5	EVO_1977	128	24.004616666666667	0.7578	0.08133333333333334
46	1	EVO_1287	256	15.625855555555557	0.423	0.08033333333333334
47	2	EVO_1287	256	15.62725	0.422	0.08033333333333334
48	3	EVO_1287	256	15.619388888888889	0.4218	0.08
49	4	EVO_1287	256	16.06235	0.4374	0.08033333333333334
50	5	EVO_1287	256	16.184355555555555	0.44	0.08133333333333334
56	1	EVO_1977	256	23.57968888888889	0.7588	0.08033333333333334
