bioscreen_well	replicate	sp_hist	strep_conc	y0	mumax	r2
178	3	ANC_1977	512	0.08360124454699218	0.00652481700323181	0.9892367281117213
179	4	ANC_1977	512	0.08401069524553198	0.00920939654164075	0.9824368209457012
18	3	ANC_1977	0	0.00363693266513063	0.38573351919683674	0.999890772431718
180	5	ANC_1977	512	0.08488977279206451	0.00487167394447126	0.9877048011065188
186	1	ANC_1287	1024	0.08388483818172687	0.00505237174312086	0.9835072159687208
187	2	ANC_1287	1024	0.00396258749869157	0.0717195927099644	0.9993571465322102
188	3	ANC_1287	1024	0.08359542593289368	0.00591999408913142	0.9917236586904112
189	4	ANC_1287	1024	0.0833122356239551	0.00767307072053274	0.991306453137184
19	4	ANC_1977	0	0.00388016688785483	0.388717461689759	0.999887728382013
190	5	ANC_1287	1024	0.08283159447650822	0.00787458521186125	0.9849083103686922
196	1	ANC_1977	1024	0.08426632221697995	0.01107747129691778	0.9978775932966052
197	2	ANC_1977	1024	0.08524324868877801	0.0376377166541567	0.9771100092280516
198	3	ANC_1977	1024	0.08466777487705562	0.01137009656540591	0.9976858896635654
199	4	ANC_1977	1024	0.08412704798089504	0.01060161047083306	0.9976992787564288
20	5	ANC_1977	0	0.00376229798401703	0.39150527884542013	0.999896925765476
200	5	ANC_1977	1024	0.08383271920178517	0.00769670809391976	0.9979509303252224
26	1	ANC_1287	4	0.00991256847804916	0.4109303586848005	0.9996285525592036
27	2	ANC_1287	4	0.0104546797189447	0.40418561425444577	0.9996430580766716
28	3	ANC_1287	4	0.01081215159169406	0.40166894336028974	0.999629687237725
29	4	ANC_1287	4	0.00948168457894863	0.4055676912331367	0.9996651216744156
30	5	ANC_1287	4	0.01141328754486821	0.3908527994407349	0.9996275288693622
36	1	ANC_1977	4	0.00413533793549553	0.3465301443224016	0.9999148865767876
37	2	ANC_1977	4	0.00366695788802079	0.3484957415979311	0.9998994143226204
38	3	ANC_1977	4	0.00416221548756517	0.34604384925189646	0.999909424952662
39	4	ANC_1977	4	0.00370670435874086	0.3465938946487437	0.9999142544312772
40	5	ANC_1977	4	0.00348858204535617	0.356854086293045	0.9999199726184612
46	1	ANC_1287	8	0.0102789874433551	0.4083328795860062	0.9995567481598844
47	2	ANC_1287	8	0.0104757525101888	0.40136015997670654	0.9996092507858396
48	3	ANC_1287	8	0.01064583496342636	0.405624172237846	0.9996162602928806
49	4	ANC_1287	8	0.01083876875176253	0.3985473923045358	0.9996448352297862
50	5	ANC_1287	8	0.01160891791525592	0.390807389270492	0.999598764866724
56	1	ANC_1977	8	0.00435347751766957	0.30511836187561947	0.9999022903502428
57	2	ANC_1977	8	0.00401434051820983	0.31267966005347153	0.999929153209153
58	3	ANC_1977	8	0.00341361568598158	0.31199944724011774	0.999921577183551
59	4	ANC_1977	8	0.00434223571453028	0.3059471848775808	0.9999386776188935
6	1	ANC_1287	0	0.01198045175278394	0.3802265288584141	0.9997018876655256
60	5	ANC_1977	8	0.00369213149144071	0.31870700090872056	0.9999389136001888
66	1	ANC_1287	16	0.01023607724781627	0.4074807080277458	0.9995713200231804
