y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	plate_name	streptomycin
0.02913027044602264	0.26111859053656356	0.9998054938370504	H1287	evo	E1287_A1977	a	coculture	B07B08	R2A	plate02	0
0.013434154222395191	0.30313491287015126	0.9999288290697873	H1977	anc	E1287_A1977	a	coculture	B07B08	R2A	plate02	0
0.028939996995161234	0.2629664841890523	0.9997528302815305	H1287	evo	E1287_E1977	a	coculture	B09B10	R2A	plate02	0
0.021405302808094783	0.19090630013058443	0.9999144688241002	H1977	evo	E1287_E1977	a	coculture	B09B10	R2A	plate02	0
0.0143957295491399	0.29547078625132145	0.9999448476450484	H1977	anc	A1977_E1977	a	coculture	B11B12	R2A	plate02	0
0.015153077650585822	0.21788085729600432	0.9999154315822139	H1977	evo	A1977_E1977	a	coculture	B11B12	R2A	plate02	0
0.04834760839238477	0.3068804660712943	0.9997974857734838	H1287	anc	A1287_E1287	b	coculture	C01C02	R2A	plate02	0
0.046124794227287026	0.19472093948209174	0.9998308159844693	H1287	evo	A1287_E1287	b	coculture	C01C02	R2A	plate02	0
0.05860965188300081	0.2788994514454132	0.9998729092454722	H1287	anc	A1287_A1977	b	coculture	C03C04	R2A	plate02	0
0.013122088589335133	0.30992956813903244	0.9998831933663646	H1977	anc	A1287_A1977	b	coculture	C03C04	R2A	plate02	0
0.047830479438157124	0.2780202585416503	0.9998590911170003	H1287	anc	A1287_E1977	b	coculture	C05C06	R2A	plate02	0
0.008751437904445637	0.2745984784448974	0.9999263793130553	H1977	evo	A1287_E1977	b	coculture	C05C06	R2A	plate02	0
0.032476845682210924	0.24720454428924374	0.9997667878442216	H1287	evo	E1287_A1977	b	coculture	C07C08	R2A	plate02	0
0.011685997159356292	0.32372119805546046	0.9998890657577012	H1977	anc	E1287_A1977	b	coculture	C07C08	R2A	plate02	0
0.030729727199271615	0.2519516660374854	0.9997803088906577	H1287	evo	E1287_E1977	b	coculture	C09C10	R2A	plate02	0
0.02039044004915435	0.19104897594080983	0.9999642929419018	H1977	evo	E1287_E1977	b	coculture	C09C10	R2A	plate02	0
0.01561674611340603	0.2962396380004573	0.9999394531279177	H1977	anc	A1977_E1977	b	coculture	C11C12	R2A	plate02	0
0.008089467481958561	0.2394457673762602	0.9998403840811654	H1977	evo	A1977_E1977	b	coculture	C11C12	R2A	plate02	0
0.04775086296500897	0.3073997213176743	0.999804594114447	H1287	anc	A1287_E1287	c	coculture	D01D02	R2A	plate02	0
