y0	mumax	r2	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	streptomycin	plate_name
0.004027893880575631	0.28557316087869944	0.9998899642457433	H1977	evo	A1287_E1977	b	coculture	C05C06	R2A	12	plate05
0.02291874205119195	0.25995377467278324	0.9998795841799019	H1287	evo	E1287_A1977	b	coculture	C07C08	R2A	12	plate05
0.15746082544376233	0.04793925556042335	0.998707343919298	H1977	anc	E1287_A1977	b	coculture	C07C08	R2A	12	plate05
0.02377551499891219	0.25564421835095336	0.9998351407881833	H1287	evo	E1287_E1977	b	coculture	C09C10	R2A	12	plate05
0.005467260098073833	0.24932803557347769	0.9999385014475777	H1977	evo	E1287_E1977	b	coculture	C09C10	R2A	12	plate05
0.01138481460411946	0.08062092335730958	0.9995911039086542	H1977	anc	A1977_E1977	b	coculture	C11C12	R2A	12	plate05
0.002997197586155003	0.3015975426927858	0.9999595430288042	H1977	evo	A1977_E1977	b	coculture	C11C12	R2A	12	plate05
0.041551631754214155	0.2963697447280244	0.999860944769055	H1287	anc	A1287_E1287	c	coculture	D01D02	R2A	12	plate05
0.036789025477110784	0.19814758755963124	0.9997831271911781	H1287	evo	A1287_E1287	c	coculture	D01D02	R2A	12	plate05
0.04301046178666253	0.27897529586138736	0.9999058004308213	H1287	anc	A1287_A1977	c	coculture	D03D04	R2A	12	plate05
0.010114170404836993	0.06365419625845208	0.9983363228149039	H1977	anc	A1287_A1977	c	coculture	D03D04	R2A	12	plate05
0.03856013192313469	0.29971499355943787	0.9998657564714492	H1287	anc	A1287_E1977	c	coculture	D05D06	R2A	12	plate05
0.007436528278793097	0.23678704127650635	0.9997515445003559	H1977	evo	A1287_E1977	c	coculture	D05D06	R2A	12	plate05
0.024894826132024345	0.2518730159412133	0.9999099567067585	H1287	evo	E1287_A1977	c	coculture	D07D08	R2A	12	plate05
0.010139025269647857	0.06405611709578916	0.9986039084272237	H1977	anc	E1287_A1977	c	coculture	D07D08	R2A	12	plate05
0.10588531953608565	0.12021098497000234	0.9999514204046887	H1287	evo	E1287_E1977	c	coculture	D09D10	R2A	12	plate05
